method,label,f1,f2,f05,money_r@100,count_r@100,money_r@500,count_r@500
lgbm_44,LightGBM-44,0.8325381679389313,0.8210219252846523,0.8443820768411884,0.06770119927150973,0.046620046620046623,0.3047295149347669,0.2331002331002331
clue,CLUE,0.7690329218106996,0.7241112079821758,0.8198968959087419,0.07903227696409117,0.046153846153846156,0.35240512012850544,0.23076923076923078
lgbm_velocity,LightGBM-velocity,0.7208279430789133,0.6762135922330097,0.7717451523545706,0.08514433833735975,0.046620046620046623,0.37518492935316644,0.23030303030303031
nhfm,NHFM,0.6810783316378434,0.6457991704446803,0.7204347358226623,0.0609492330123791,0.044755244755244755,0.2971512364841467,0.2261072261072261
lgbm,LightGBM,0.57653201428964,0.5206472106412547,0.6458564216229529,0.052304667008575154,0.046620046620046623,0.21658702429386784,0.22144522144522144
lr,Logistic Regression,0.3041907514450867,0.3516832344833347,0.2679992361066904,0.0,0.0,0.005530471638542274,0.004195804195804196
ctkt,CTKT,0.14486966167498613,0.21132686084142394,0.11021097046413503,0.00788274548119785,0.012121212121212121,0.029007909719216556,0.0386946386946387
spade,SPADE,0.15399933620975773,0.12277730736663844,0.2065159337724764,0.033772096095180774,0.030303030303030304,0.10516740004285442,0.09044289044289044
graphrfi,GraphRfi,0.1412478336221837,0.09321743108772733,0.2913836253128352,0.057238142912408814,0.046620046620046623,0.10060488579495153,0.08018648018648018
ethaegis,EthAegis,0.04172861532361979,0.08997456775875702,0.02716321803482828,0.0014777495183463222,0.002331002331002331,0.004291418060356719,0.005128205128205128
gipm3f,GiPM3F,0.037692484486324986,0.03801223808640831,0.03737806545719756,0.0005558248321213652,0.0009324009324009324,0.011716739460751881,0.009324009324009324
